Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;nomi;awards
Hansan : La Bataille du dragon;Action;Drame;Han-min Kim;Park Hae-il;Byun Yo-han;Sung-Ki Ahn;;soso;;Corée du Sud;;Coréen;1.0;0.0;0.0;130;29;mars;2023;0;0
Happy Nous Year;Comédie;Romance;Frank Bellocq;Kev Adams;Camille Lellouche;;;bad;Frank Bellocq;France;;Français;0.0;0.0;0.0;59;28;décembre;2022;0;0
Harka;Drame;;Lotfy Nathan;Adam Bessa;Salima Maatoug;Ikbal Harbi;4,0;good;Lotfy Nathan;France;Dulac Distribution;Arabe;0.0;0.0;0.0;82;2;novembre;2022;11;0
Hawa;Comédie;Drame;Maimouna Doucouré;Sania Halifa;Oumou Sangaré;Yseult;3,3;good;Maimouna Doucouré;France;;Français;0.0;0.0;0.0;104;9;décembre;2022;0;0
Hawa;Drame;;Mejbaur Rahman Sumon;Chanchal Chowdhury;Nazifa Tushi;Sariful Islam Razz;;good;Mejbaur Rahman Sumon;Bengladesh;Desi Entertainment Paris;Bengali;0.0;0.0;0.0;130;30;septembre;2022;0;0
Heatwave;Thriller;;Ernie Barbarash;Kat Graham;Merritt Patterson;Sebastian Roché;;bad;Chris Sivertson;U.S.A.;;Anglais;0.0;0.0;0.0;100;1;juin;2022;0;0
Hell Dogs : Dans la Maison de bambou;Action;Judiciaire;Masato Harada;Junichi Okada;Kentarô Sakaguchi;Mayu Matsuoka;;good;;Japon;;Japonais;1.0;0.0;0.0;137;16;décembre;2022;0;0
Hello, adieu, et nous au milieu;Comédie;Romance;Michael Lewen;Jordan Fisher;Talia Ryder;Ayo Edebiri;;soso;Amy Reed;U.S.A.;;Anglais;0.0;0.0;0.0;84;6;juillet;2022;0;0
Heropanti 2;Action;;Ahmed Khan;Tiger Shroff;Nawazuddin Siddiqui;Tara Sutaria;;soso;;Inde;Desi Entertainment Paris;Hindi;0.0;0.0;0.0;150;29;avril;2022;0;0
Heureusement qu'on s'a;Drame;;Anne Giafferi;Fred Testot;Zinedine Soualem;Oscar Pauleau;;good;Anne Giafferi;France;France 2;Français;3.0;1.0;0.0;90;3;mai;2023;0;0
