Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;nomi;awards
Les Arbres de la paix;Drame;;Alanna Brown;Eliane Umuhire;Charmaine Bingwa;Ella Cannon;;soso;Alanna Brown;U.S.A.;;Anglais;0.0;0.0;0.0;97;10;juin;2022;0;0
Les Battantes;Drame;;Astar Elkayam;Agam Schuster;Mor Polanuer;Naama Preis;;good;Astar Elkayam;Israël;;Hebreu;0.0;0.0;0.0;75;30;novembre;2022;0;0
Les Bodin's en Thaïlande;Aventure;Comédie;Frédéric Forestier;Vincent Dubois;Jean-Christian Fraiscinet;Bella Boonsang;2,2;soso;;France;SND;Français;2.0;0.0;0.0;98;17;novembre;2021;0;0
Les Choses humaines;Drame;Judiciaire;Yvan Attal;Charlotte Gainsbourg;Mathieu Kassovitz;Pierre Arditi;3,1;good;Yaël Langmann;France;Gaumont Distribution;Français;3.0;4.0;11.0;139;1;décembre;2021;3;0
Les Choses qui nous échappent;Comédie dramatique;;Patrick Milani;Eden Lopez;Gabrielle Brown;François Peru;;soso;;France;;Français;0.0;0.0;0.0;81;2;novembre;2022;0;0
Les Délices de l'amour;Romance;;Don McBrearty;Rachel Bles;Stephen Huszar;Ron Lea;;soso;Farhad Mann;U.S.A.;;Anglais;0.0;0.0;0.0;89;4;mars;2021;0;0
Les Enfants Des Justes;Drame;Historique;Fabien Onteniente;Mathilde Seigner;Gérard Lanvin;Philippe Torreton;3,3;good;Fabien Onteniente;France;France 2;Français;1.0;2.0;4.0;90;28;mai;2010;0;0
Les Enquêtes du département V : L'Effet Papillon;Thriller;;Martin Zandvliet;Ulrich Thomsen;Zaki Youssef;Sofie Torp;;soso;Anders Frithiof August;Danemark;Wild Side;Danois;1.0;0.0;0.0;125;26;mai;2022;0;0
Les Eternels;Action;Fantastique;Chloé Zhao;Gemma Chan;Richard Madden;Salma Hayek;2,9;good;Chloé Zhao;U.S.A.;The Walt Disney Company France;Anglais;5.0;0.0;2.0;157;3;novembre;2021;0;0
Les fabuleux miracles de Noël;Comédie dramatique;Romance;Heather Hawthorn Doyle;Katherine Barrell;Alberto Frezza;Josh Ssettuba;;good;John Wierick;U.S.A.;TF1;Anglais;0.0;0.0;0.0;84;22;novembre;2022;0;0
Les Femmes du pavillon J;Drame;;Mohamed Nadif;Assma El Hadrami;Jalila Talemsi;Imane Elmechrafi;2,4;good;Mohamed Nadif;Maroc;Les Films des Deux Rives;Arabe;1.0;0.0;0.0;97;11;mai;2022;0;0
Les Folies fermières;Comédie;Drame;Jean-Pierre Améris;Alban Ivanov;Sabrina Ouazani;Michèle Bernier;3,3;good;Jean-Pierre Améris;France;Apollo Films;Français;4.0;1.0;3.0;109;11;mai;2022;0;0
Les Gagnants;Comédie;;AZ;JoeyStarr;AZ;Alban Ivanov;;bad;AZ;France;ARP Sélection;Français;0.0;1.0;0.0;85;13;avril;2022;0;0
Les gâteaux de noël;Comédie;Drame;Aubrey Arnason;Manoj Sood;Rekha Sharma;Praneet Akilla;;soso;Alison Spuck McNeeley;Canada;;Anglais;0.0;0.0;0.0;90;2;novembre;2021;0;0
Les Héritières;Drame;;Nolwenn Lemesle;Tracy Gotoas;Fanta Kebe;Lucie Fagedet;3,8;good;Johanna Goldschmidt;France;Arte;Français;1.0;0.0;0.0;80;4;juin;2021;0;0
Les Héroïques;Comédie;Drame;Maxime Roy;François Creton;Roméo Créton;Richard Bohringer;3,4;good;François Creton;France;Pyramide Distribution;Français;2.0;0.0;0.0;99;20;octobre;2021;2;0
Les incroyables talents de Noël;Romance;;Robert Lieberman;Laura Osnes;Kyle Selig;Pat Monahan;;soso;Nina Weinman;U.S.A.;;Anglais;1.0;0.0;0.0;83;14;octobre;2022;0;0
Les Intranquilles;Drame;;Joachim Lafosse;Leïla Bekhti;Damien Bonnard;Gabriel Merz Chammah;3,9;good;Joachim Lafosse;Belgique;Les Films du Losange;Français;2.0;3.0;1.0;114;29;septembre;2021;17;0
Les Lendemains de veille;Comédie dramatique;;Loïc Paillard;Denis Eyriey;Marica Soyer;François Pouron;2,8;good;Loïc Paillard;France;Star Invest Films France;Français;0.0;6.0;0.0;85;9;novembre;2022;1;0
Les liens du sang;Policier;Drame;Manuel Martín Cuenca;Javier Gutiérrez;Patricia López Arnaiz;Maria Morales;;soso;Manuel Martín Cuenca;Espagne;;Espagnol;8.0;2.0;0.0;122;3;janvier;2023;6;0
Les malheurs de Ruby : d'or et de lumière;Drame;;Michael Robison;Raechelle Banno;Kristian Alfonso;Karina Banno;;good;Scarlett Lacey;U.S.A.;TF1;Anglais;0.0;0.0;0.0;90;5;octobre;2021;0;0
Les malheurs de Ruby : joyau caché;Drame;;Michael Robison;Raechelle Banno;Kristian Alfonso;Evan Roderick;;good;Andy Cochran;U.S.A.;TF1;Anglais;0.0;0.0;0.0;90;5;octobre;2021;0;0
Les malheurs de Ruby : un nouvel éclat;Drame;;David Bercovici-Artieda;Raechelle Banno;Karina Banno;Richard Harmon;;good;Richard Blaney;U.S.A.;TF1;Anglais;0.0;0.0;0.0;90;4;octobre;2021;0;0
Les Méchants;Comédie;;Mouloud Achour;Roman Frayssinet;Djimo;Ludivine Sagnier;2,7;bad;Mouloud Achour;France;Le Pacte;Français;0.0;0.0;0.0;84;8;septembre;2021;1;0
Les Meilleures;Drame;Romance;Marion Desseigne-Ravel;Lina El Arabi;Esther Bernet-Rollande;Kiyane Benamara;3,4;good;Marion Desseigne-Ravel;France;Le Pacte;Français;0.0;0.0;0.0;81;9;mars;2022;2;0
Les Mitchell contre les machines;Animation;Comédie;Michael Rianda;Abbi Jacobson;Danny McBride;Maya Rudolph;4,0;excellent;Michael Rianda;U.S.A.;Sony Pictures Releasing France;Anglais;0.0;0.0;2.0;114;30;avril;2021;2;0
Les Mystères de l'école de gendarmerie;Policier;;Lorenzo Gabriele;Sara Mortensen;Olivier Sitruk;Elizabeth Bourgine;2,6;good;Lorenzo Gabriele;France;France 3;Français;0.0;0.0;1.0;90;25;septembre;2021;0;0
Les Nouveaux Chapitres du bonheur;Drame;Romance;Thabang Moleya;Mmabatho Montsho;Khanyi Mbau;Renate Stuurman;;soso;Ayanda Halimana;Afrique du Sud;;Anglais;0.0;0.0;0.0;99;10;novembre;2021;0;0
Les Nouvelles Aventures de Gulliver;Aventure;Animation;Ilya Maksimov;Tyler Bunch;Wayne Grayson;Alyson Leigh Rosenfeld;;soso;Michael Ryan;Ukraine;;ukrainien;0.0;0.0;0.0;90;30;août;2022;0;0
Les Octonauts et la Ceinture de Feu;Aventure;Animation;Blair Simmons;Keith Wickham;Jo Wyatt;Teresa Gallagher;;bad;;Chine;;Anglais;0.0;0.0;0.0;71;30;mars;2021;0;0
Les Olympiades;Comédie;Drame;Jacques Audiard;Lucie Zhang;Makita Samba;Noémie Merlant;3,7;good;Céline Sciamma;France;Memento Distribution;Français;31.0;0.0;0.0;106;3;novembre;2021;22;0
Les Pages de l'Angoisse;Famille;Fantastique;David Yarovesky;Winslow Fegley;Krysten Ritter;Lidya Jewett;;soso;Tobias Iaconis;U.S.A.;;Anglais;0.0;0.0;0.0;100;15;septembre;2021;0;0
Les Particules élémentaires;Drame;Romance;Antoine Garceau;Guillaume Gouix;Jean-Charles Clichet;Pascale Arbillot;3,4;good;Gilles Taurand;France;France 2;Français;0.0;1.0;0.0;120;31;janvier;2022;0;0
Les Passagers de la nuit;Drame;;Mikhaël Hers;Charlotte Gainsbourg;Quito Rayon Richter;Noée Abita;4,0;good;Mikhaël Hers;France;Pyramide Distribution;Français;2.0;4.0;0.0;111;4;mai;2022;11;0
Les Poings desserrés;Drame;;Kira Kovalenko;Milana Aguzarova;Alik Karaev;Soslan Khugaev;3,9;good;Kira Kovalenko;Russie;ARP Sélection;Russe;0.0;0.0;0.0;96;23;février;2022;8;0
Les Promesses;Drame;;Thomas Kruithof;Isabelle Huppert;Reda Kateb;Naidra Ayadi;3,7;good;Thomas Kruithof;France;Wild Bunch Distribution;Français;1.0;19.0;2.0;98;26;janvier;2022;3;0
Les Promesses d’Hasan;Drame;;Semih Kaplanoğlu;Umut Karadağ;Filiz Bozok;Mahir Günşiray;3,5;good;Semih Kaplanoğlu;Turquie;ARP Sélection;Turc;12.0;0.0;0.0;147;3;août;2022;0;0
Les Repentis;Biopic;Drame;Icíar Bollaín;Blanca Portillo;Luis Tosar;Urko Olazabal;3,6;good;Icíar Bollaín;Espagne;Epicentre Films;Espagnol;9.0;1.0;2.0;116;9;novembre;2022;0;0
Les Révoltés;Action;Thriller;William Sullivan;Nadine Malouf;Nick Westrate;Brandon Perea;;bad;Jarret Kerr;U.S.A.;;Anglais;0.0;0.0;0.0;115;30;avril;2023;0;0
Les Secrets de mon père;Animation;;Véra Belmont;Michèle Bernier;Jacques Gamblin;Arthur Dupont;3,3;good;Véra Belmont;France;Le Pacte;Français;0.0;1.0;2.0;74;21;septembre;2022;2;0
Les SEGPA;Comédie;;Ali Boughéraba;Ichem Bougheraba;Walid Ben Amar;Arriles Amrani;2,0;bad;;France;Apollo Films;Français;0.0;0.0;0.0;99;20;avril;2022;0;0
Les Sorcières d'Akelarre;Drame;Historique;Pablo Agüero;Alex Brendemühl;Amaia Aberasturi;Daniel Fanego;3,2;good;Pablo Agüero;Espagne;Dulac Distribution;Espagnol;1.0;3.0;0.0;92;25;août;2021;0;0
Les Trolls des fêtes enchantées;Animation;;Sean Charmatz;Anna Kendrick;Justin Timberlake;Kenan Thompson;;good;Tim Heitz;U.S.A.;;Anglais;0.0;4.0;1.0;30;12;décembre;2017;0;0
Les Voisins de mes voisins sont mes voisins;Animation;Comédie;Anne-Laure Daffis;Arielle Dombasle;Valérie Mairesse;Elise Larnicol;3,4;good;Anne-Laure Daffis;France;Jour2fête;Français;13.0;9.0;1.0;90;2;février;2022;1;0
Libertad;Drame;;Clara Roquet;María Morera;Nicolle García;Vicky Peña;3,4;good;Clara Roquet;Espagne;Epicentre Films;Espagnol;5.0;0.0;0.0;104;6;avril;2022;5;0
Licorice Pizza;Comédie;Drame;Paul Thomas Anderson;Alana Haim;Cooper Hoffman;Bradley Cooper;4,5;good;Paul Thomas Anderson;U.S.A.;Universal Pictures International France;Anglais;6.0;0.0;0.0;134;5;janvier;2022;12;0
Life On Mars;Drame;Science Fiction;Wyatt Rockefeller;Sofia Boutella;Ismael Cruz Cordova;Brooklynn Prince;;bad;Wyatt Rockefeller;Grande-Bretagne;;Anglais;0.0;1.0;0.0;105;3;octobre;2021;0;0
Lilly et l'Oiseau;Comédie;Drame;Theodore Melfi;Melissa McCarthy;Chris O'Dowd;Timothy Olyphant;;good;Matt Harris;U.S.A.;;Anglais;4.0;6.0;1.0;102;24;septembre;2021;0;0
Limbo;Drame;;Ben Sharrock;Amir El-Masry;Vikash Bhai;Ola Orebiyi;3,9;good;Ben Sharrock;Grande-Bretagne;L'Atelier Distribution;Anglais;0.0;0.0;0.0;104;4;mai;2022;5;0
Lingui, les liens sacrés;Drame;;Mahamat-Saleh Haroun;Achouackh Abakar;Rihane Khalil Alio;Youssouf Djaoro;3,1;soso;Mahamat-Saleh Haroun;France;Ad Vitam;Français;3.0;0.0;0.0;88;8;décembre;2021;12;0
Lockdown;Thriller;;Moses Inwang;Deyemi Okanlawon;Emem Inwang;Ini Dima Okojie;;soso;;Nigéria;;Anglais;0.0;0.0;0.0;144;25;octobre;2022;0;0
Locked Down;Action;Comédie;Doug Liman;Anne Hathaway;Chiwetel Ejiofor;Ben Kingsley;;soso;Steven Knight;Grande-Bretagne;Warner Bros. France;Anglais;11.0;4.0;1.0;118;18;août;2021;0;0
Locked In;Policier;Drame;Carlos V. Gutierrez;Mena Suvari;Jeff Fahey;Costas Mandylor;;soso;Carlos V. Gutierrez;U.S.A.;;Anglais;0.0;1.0;0.0;90;8;mars;2023;0;0
Loin de chez moi;Policier;Drame;Frédéric Forestier;Marine Delterme;Marc Lavoine;Lucie Fagedet;;soso;Mathieu Missoffe;France;TF1;Français;2.0;0.0;4.0;90;29;septembre;2021;0;0
Loups-Garous;Comédie;Epouvante-horreur;Josh Ruben;Sam Richardson;Milana Vayntrub;George Basil;;bad;Mishna Wolff;U.S.A.;Metropolitan FilmExport;Anglais;0.0;0.0;0.0;97;4;août;2021;0;0
Love Academy;Romance;;Sandra L. Martin;Meggan Kaiser;Scot Cooper;Maurice Johnson;;soso;D.F.W. Buckingham;U.S.A.;;Anglais;0.0;0.0;0.0;89;29;avril;2021;0;0
Love Hard;Comédie;Romance;Hernán Jiménez;Nina Dobrev;Jimmy O. Yang;Darren Barnet;;good;Rebecca Ewing;U.S.A.;;Anglais;0.0;0.0;0.0;105;5;novembre;2021;0;0
Love Or Money;Comédie;Drame;Mae Czarina Cruz;Angelica Panganiban;Coco Martin;Ketchup Eusebio;;soso;;Philippines;;Filipino;0.0;0.0;0.0;116;29;novembre;2022;0;0
Luca;Animation;Famille;Enrico Casarosa;Aloïs Le Labourier Tiêu;Jacob Tremblay;Matt Mouredon;3,6;good;Jesse Andrews;U.S.A.;;Anglais;0.0;0.0;1.0;96;18;juin;2021;3;0
Lucie perd son cheval;Comédie dramatique;;Claude Schmitz;Lucie Debay;Hélène Bressiant;Judith Williquet;3,1;soso;Claude Schmitz;Belgique;Shellac;Français;1.0;1.0;0.0;82;8;février;2023;0;0
Lucky;Epouvante-horreur;Thriller;Natasha Kermani;Brea Grant;Leith M. Burke;Dhruv Uday Singh;;soso;Brea Grant;U.S.A.;;Anglais;0.0;0.0;0.0;81;13;mai;2021;0;0
Luke tue-l'amour;Comédie;Romance;Gray Hofmeyr;Amanda Du-Pont;James Borthwick;Naymaps Maphalala;;soso;Gray Hofmeyr;Afrique du Sud;;Anglais;0.0;0.0;0.0;94;22;octobre;2021;0;0
Luzifer;Drame;Epouvante-horreur;Peter Brunner;Franz Rogowski;Susanne Jensen;;;soso;Peter Brunner;Autriche;;Allemand;0.0;0.0;0.0;103;25;avril;2022;0;0
Luzzu;Drame;;Alex Camilleri;Jesmark Scicluna;Michela Farrugia;David Scicluna;3,1;good;Alex Camilleri;Malte;Epicentre Films;Anglais;0.0;0.0;0.0;94;5;janvier;2022;0;0
LX 2048;Drame;Science Fiction;Guy Moshe;James D'Arcy;Juliet Aubrey;Anna Brewster;;bad;Guy Moshe;U.S.A.;;Anglais;0.0;0.0;0.0;104;13;août;2021;0;0
Ma famille afghane;Animation;Drame;Michaela Pavlatova;Eliska Balzerova;Hynek Cermák;Berenika Kohoutová;3,7;good;Ivan Arsenjev;République tchèque;Diaphana Distribution;Tchèque;3.0;0.0;0.0;80;27;avril;2022;6;0
Ma nuit;Drame;;Antoinette Boulat;Lou Lampros;Tom Mercier;Carmen Kassovitz;3,2;soso;Antoinette Boulat;France;Epicentre Films;Français;0.0;0.0;0.0;87;9;mars;2022;1;0
Ma résolution du nouvel an;Comédie;Drame;Lesley Demetriades;Aimee Teegarden;Michael Rady;Elise Bauman;;soso;Sarah Montana;U.S.A.;;Anglais;0.0;0.0;0.0;84;2;novembre;2021;0;0
Ma vie merveilleuse;Comédie;Drame;Łukasz Grzegorzek;Agata Buzek;Jacek Braciak;Adam Woronowicz;;soso;Łukasz Grzegorzek;Pologne;;Polonais;0.0;0.0;0.0;99;28;février;2022;0;0
Mad Dog;Policier;Thriller;Vincenzo Alfieri;Massimo Popolizio;Edoardo Pesce;Roberta Caronia;;soso;Vincenzo Alfieri;Italie;;Italien;0.0;0.0;0.0;108;29;avril;2022;0;0
Madalena;Drame;;Madiano Marcheti;Joana Castro;Natália Mazarim;Pamela Yulle;;soso;Madiano Marcheti;Brésil;;Portugais;0.0;0.0;0.0;85;5;avril;2022;0;0
Madame Claude;Biopic;Drame;Sylvie Verheyde;Karole Rocher;Roschdy Zem;Garance Marillier;2,9;soso;Sylvie Verheyde;France;;Français;8.0;1.0;9.0;112;2;avril;2021;0;0
Madeleine Collins;Drame;;Antoine Barraud;Virginie Efira;Bruno Salomone;Quim Gutiérrez;3,7;good;Antoine Barraud;France;Paname Distribution / UFO;Français;6.0;2.0;0.0;107;22;décembre;2021;1;0
Madhagaja;Action;;Mahesh Kumar;Chikkanna;Ashika Ranganath;Srikant Murali;;soso;;Inde;;Tamoul;0.0;0.0;0.0;132;23;décembre;2021;0;0
Madres;Epouvante-horreur;;Ryan Zaragoza;Elpidia Carrillo;Tenoch Huerta;Kerry Cahill;;bad;Mario Miscione;U.S.A.;;Anglais;0.0;0.0;0.0;84;8;octobre;2021;0;0
Madres paralelas;Drame;;Pedro Almodóvar;Penélope Cruz;Milena Smit;Israel Elejalde;3,9;good;Pedro Almodóvar;Espagne;Pathé;Espagnol;19.0;9.0;0.0;123;1;décembre;2021;10;0
Major Grom : Le Docteur de Peste;Action;Aventure;Oleg Trofim;Tikhon Zhiznevskiy;Lyubov Aksyonova;Aleksey Maklakov;;good;Vladimir Besedin;Russie;;Russe;0.0;0.0;0.0;136;7;juillet;2021;0;0
Mako;Aventure;Thriller;Mohamed Hesham El-Rashidy;Murat Yıldırım;Nicolas Mouawad;Saif Mohsen;;soso;;Egypte;;Arabe;0.0;0.0;0.0;96;16;décembre;2022;0;0
Malcolm & Marie;Drame;Romance;Sam Levinson;John David Washington;Zendaya;;3,5;good;Sam Levinson;U.S.A.;Netflix;Anglais;8.0;2.0;2.0;106;5;février;2021;0;0
Malignant;Epouvante-horreur;Thriller;James Wan;Annabelle Wallis;Maddie Hasson;George Young;2,8;soso;Akela Cooper;U.S.A.;Warner Bros. France;Anglais;2.0;0.0;0.0;111;1;septembre;2021;0;0
Maman a disparu;Drame;;François Basset;Claire Borotra;Claire Keim;Nicole Calfan;;soso;Matthieu Savignac;France;France 3;Français;0.0;0.0;0.0;90;14;mars;2023;0;0
Maman pleut des cordes;Animation;Famille;Hugo de Faucompret;Yolande Moreau;Arthur H.;Céline Sallette;3,9;good;;France;Les Films du Préau;Français;0.0;11.0;1.0;50;1;décembre;2021;0;0
Maman, j'ai raté l'avion ! (ça recommence);Aventure;Comédie;Dan Mazer;Archie Yates;Ellie Kemper;Rob Delaney;;bad;Mikey Day;U.S.A.;;Anglais;1.0;0.0;4.0;93;12;novembre;2021;0;0
Man In Love;Drame;Romance;Yin Chen-Hao;Roy Chiu;Wei-Ning Hsu;Tsai Chen-nan;;soso;Chih-Chung Chien;Taïwan;;Thaï;0.0;0.0;0.0;115;7;novembre;2022;0;0
Maanaadu;Action;Science Fiction;Venkat Prabhu (II);Kalyani Priyadarshan;T.R. Silambarasan;S.J. Suryah;;good;Venkat Prabhu (II);Inde;Night ed films;Tamoul;0.0;0.0;0.0;155;25;novembre;2021;0;0
Manmatha Leelai;Comédie;Romance;Venkat Prabhu (II);Ashok Selvan;Samyuktha Hegde;Riya Suman;;soso;Venkat Prabhu (II);Inde;Night ed films;Tamoul;0.0;0.0;0.0;150;1;avril;2022;0;0
Many Saints Of Newark - Une histoire des Soprano;Policier;Drame;Alan Taylor;Alessandro Nivola;Leslie Odom Jr.;Vera Farmiga;3,0;soso;David Chase;U.S.A.;Warner Bros. France;Anglais;3.0;0.0;4.0;123;3;novembre;2021;0;0
Marakkar;Action;Aventure;Priyadarshan Nair;Mohanlal;Sunil Shetty;Arjun Sarja;;soso;Priyadarshan Nair;Inde;Night ed films;Tamoul;0.0;0.0;0.0;181;2;décembre;2021;0;0
Margrete: Reine du Nord;Biopic;Drame;Charlotte Sieling;Trine Dyrholm;Morten Hee Andersen;Søren Malling;;good;Charlotte Sieling;Danemark;Swift Distribution;Danois;0.0;1.0;0.0;121;10;avril;2023;0;0
Mariés à Noël !;Romance;;David I. Strasser;Emily Osment;Casey Deidrick;Patch May;;good;Tracy Andreen;U.S.A.;TF1;Anglais;0.0;1.0;0.0;84;10;novembre;2022;0;0
Marilyn a les yeux noirs;Comédie;Drame;Simone Godano;Miriam Leone;Stefano Accorsi;Thomas Trabacchi;;soso;Giulia Louise Steigerwalt;Italie;;Italien;0.0;0.0;1.0;110;15;mars;2022;0;0
Martyrs Lane;Epouvante-horreur;;Ruth Platt;Kiera Thompson;Denise Gough;Sienna Sayer;;soso;Ruth Platt;Grande-Bretagne;;Anglais;0.0;0.0;0.0;96;29;mars;2023;0;0
Mascarade;Comédie dramatique;;Nicolas Bedos;Pierre Niney;Isabelle Adjani;François Cluzet;2,5;good;Nicolas Bedos;France;Pathé;Français;1.0;5.0;11.0;134;1;novembre;2022;1;0
Mascarpone;Comédie;Romance;Alessandro Guida;Giancarlo Commare;Eduardo Valdarnini;Gianmarco Saurino;;soso;Alessandro Guida;Italie;;Italien;0.0;0.0;0.0;106;29;septembre;2022;0;0
Masquerade;Epouvante-horreur;Thriller;Shane Dax Taylor;Bella Thorne;Alyvia Alyn Lind;Skyler Samuels;;bad;Shane Dax Taylor;U.S.A.;;Anglais;0.0;0.0;0.0;80;31;décembre;2021;0;0
Mastemah;Epouvante-horreur;Thriller;Didier D. Daarwin;Camille Razat;Olivier Barthelemy;Tibo Vandenborre;1,3;bad;Didier D. Daarwin;France;Alba Films;Français;0.0;0.0;0.0;101;29;juin;2022;0;0
Master;Action;Thriller;Lokesh Kanagaraj;Vijay Sethupathi;Malavika Mohanan;Andrea Jeremiah;;good;;Inde;Friday Entertainment;Tamoul;0.0;0.0;0.0;178;28;janvier;2021;0;0
Matrix Resurrections;Action;Science Fiction;Lana Wachowski;Keanu Reeves;Carrie-Anne Moss;Yahya Abdul-Mateen II;3,5;soso;Lana Wachowski;U.S.A.;Warner Bros. France;Anglais;2.0;7.0;0.0;148;22;décembre;2021;1;0
Mauvaise impression;Drame;Thriller;Wregas Bhanuteja;Shenina Cinnamon;Lutesha;Dea Panendra;;good;Wregas Bhanuteja;Indonésie;;Indonésien;1.0;0.0;0.0;130;13;janvier;2022;0;0
Maya l'abeille 3 : l'œuf d'or;Aventure;Animation;Alexs Stadermann;Coco Jack Gillies;Justine Clarke;Benson Jack Anthony;;soso;Fin Edquist;Allemagne;TF1 Studio;Allemand;0.0;0.0;0.0;88;4;août;2021;0;0
Me You Madness;Comédie;;Louise Linton;Ed Westwick;Louise Linton;Joel Michaely;;bad;Louise Linton;U.S.A.;;Anglais;0.0;2.0;0.0;98;31;août;2021;0;0
Medusa;Fantastique;Epouvante-horreur;Anita Rocha da Silveira;Mari Oliveira;Lara Tremouroux;Joana Medeiros;3,3;good;Anita Rocha da Silveira;Brésil;Wayna Pitch;Portugais;0.0;0.0;0.0;128;16;mars;2022;2;0
Meg Rising;Action;Science Fiction;Brian Nowak;Tom Sizemore;O'Shay Neal;;;bad;;U.S.A.;;Anglais;0.0;1.0;0.0;83;1;juillet;2022;0;0
Meilleurs ennemis;Comédie;Romance;Peter Hutchings;Lucy Hale;Austin Stowell;Damon Daunno;;soso;Christina Mengert;U.S.A.;Metropolitan FilmExport;Anglais;0.0;1.0;0.0;103;26;mai;2022;0;0
Meilleurs vœux de Lagos;Comédie;Comédie dramatique;Kunle Afolayan;Rachel Oniga;Kunle Remi;Efa Iwara;;soso;Kemi Adesoye;Nigéria;;Autre;0.0;0.0;0.0;121;16;décembre;2021;0;0
Même les souris vont au paradis;Animation;Famille;Jan Bubenicek;Marie Nonnenmacher;Vincent De Bouard;Jérôme Pauwels;3,6;good;Alice Nellis;France;Gebeka Films;Tchèque;0.0;0.0;0.0;88;27;octobre;2021;1;0
Memento Mori;Drame;;Jean Heches;Philippe Larcher;Ruby Minard;Sylvain Urban;3,0;soso;Jean Heches;France;Septième Factory;Français;0.0;0.0;0.0;96;18;mai;2022;0;0
Mémoire trouble;Policier;;Denis Malleval;Pierre Arditi;Nicolas Grandhomme;Florence Muller;3,4;good;Marie Guilmineau;France;France 2;Français;0.0;3.0;0.0;90;20;septembre;2022;0;0
Memoria;Drame;;Apichatpong Weerasethakul;Tilda Swinton;Elkin Díaz;Jeanne Balibar;3,9;good;Apichatpong Weerasethakul;Colombie;New Story;Anglais;5.0;5.0;0.0;136;17;novembre;2021;12;0
Memory Box;Comédie;Drame;Khalil Joreige;Rim Turki;Manal Issa;Paloma Vauthier;3,5;good;Gaëlle Macé;France;Haut et Court;Français;1.0;0.0;1.0;102;19;janvier;2022;8;0
Menace sur Kermadec;Drame;;Bruno Garcia;Claire Keim;David Kammenos;Axel Mandron;2,8;soso;Florent Meyer;France;France 2;Français;0.0;0.0;0.0;90;4;février;2022;0;0
Mes fiancés de Noël;Romance;;Don McBrearty;Catherine Haena Kim;Raymond Ablack;Jenna Katz;;soso;Lisa Parsons;U.S.A.;M6;Anglais;0.0;0.0;0.0;84;29;décembre;2021;0;0
Mes frères et moi;Drame;;Yohan Manca;Maël Rouin Berrandou;Judith Chemla;Dali Benssalah;3,7;good;Yohan Manca;France;Ad Vitam;Français;8.0;0.0;1.0;108;5;janvier;2022;9;0
Meurtres à Amiens;Policier;;Vincent Trisolini;Grégoire Bonnet;Joyce Bibring;Anne Loiret;3,3;good;Natascha Cucheval;France;France 3;Français;0.0;0.0;1.0;90;3;septembre;2022;0;0
Meurtres à Blois;Policier;;Elsa Bennett;Anne Charrier;Olivier Marchal;Boubacar Kabo;3,0;soso;Christiane Spièro;France;France 3;Français;0.0;0.0;3.0;90;1;janvier;2022;0;0
Meurtres à Figeac;Policier;;Olivier Barma;Stéphane Plaza;Samira Lachhab;Patrick Descamps;;good;Charles Poupot;France;France 3;Français;0.0;0.0;0.0;90;18;juin;2022;0;0
Meurtres à Marie-Galante;Policier;;Marc Barrat;Pascal Légitimus;Anne Caillon;Firmine Richard;2,9;soso;Sandro Agenor;France;France 3;Français;0.0;1.0;1.0;90;6;novembre;2021;0;0
Meurtres à Porquerolles;Policier;;Delphine Lemoine;Charlie Bruneau;Francois Vincentelli;Nicole Calfan;3,0;good;Pierre Lacan;France;France 3;Français;0.0;0.0;0.0;90;7;mai;2022;0;0
Meurtres à Toulouse;Policier;;Sylvie Ayme;Lionnel Astier;Camille Aguilar;Astrid Whettnall;3,1;good;Jean-Marie Chavent;France;France 3;Français;0.0;0.0;0.0;90;29;mai;2021;0;0
Meurtres au Mont-St-Michel;Policier;;Marie-Hélène Copti;Anthony Delon;Juliet Lemonnier;Benoît Michel;2,5;soso;Thomas Perrier;France;France 3;Français;0.0;0.0;0.0;90;15;janvier;2022;0;0
Meurtres en eaux troubles : Le Cercle de l'âme;Policier;Drame;Michael Schneider (II);Matthias Koeberlin;Nora von Waldstätten;Hary Prinz;;good;Timo Berndt;Allemagne;France 3;Allemand;0.0;0.0;0.0;93;16;janvier;2022;0;0
Meurtres sur les îles du Frioul;Policier;;Sylvie Ayme;Francis Huster;Jérémy Banster;Myra Bitout;;good;David Crozier;France;France 3;Français;0.0;1.0;1.0;90;12;mars;2022;0;0
Meurtrie;Drame;Thriller;Halle Berry;Halle Berry;Adan Canto;Sheila Atim;;good;Michelle Rosenfarb;U.S.A.;;Anglais;4.0;4.0;0.0;129;24;novembre;2021;0;0
Mi iubita mon amour;Drame;Romance;Noémie Merlant;Gimi Covaci;Noémie Merlant;Sanda Codreanu;3,4;soso;Noémie Merlant;France;Tandem;Français;1.0;0.0;1.0;95;27;juillet;2022;3;0
Midnight silence;Thriller;;Oh-Seung Kwon;Wi Ha-Joon;Ki-Joo Jin;Park Hoon;;good;Oh-Seung Kwon;Corée du Sud;The Jokers / Les Bookmakers;Coréen;0.0;0.0;0.0;104;10;mai;2022;7;0
Mikado;Drame;;Emanuel Parvu;Serban Pavlu;Ana Indricau;Crina Semciuc;;good;Emanuel Parvu;Roumanie;;Roumain;0.0;1.0;0.0;96;19;avril;2022;0;0
