Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
A Human Position;30 janvier 2023; 1h 18min ;Drame;NA;NA;Anders Emblem;NA;Amalie Ibsen Jensen;Maria Agwumaro;Lars Halvor Andreassen;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=311368.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=858917.html;Anders Emblem;Norvège;NA;NA;0;-;Norvégien;NA;NA;NA;NA
A Jazzman's Blues;23 septembre 2022; 2h 07min ;Policier;Drame;Historique;Tyler Perry;NA;Joshua Boone;Amirah Vann;Solea Pfeiffer;NA;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=291517.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=101407.html;Tyler Perry;U.S.A.;NA;NA;0;-;Anglais;NA;3;0;0
A l'Ouest, rien de nouveau;28 octobre 2022; 2h 28min ;Drame;Historique;Guerre;Edward Berger;NA;Felix Kammerer;Albrecht Schuch;Aaron Hilmer;NA;4,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=182953.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=262621.html;Ian Stokell;Allemagne;U.S.A.;NA;11         13            ;-;Allemand, Anglais;NA;9;NA;1
À mon seul désir;5 avril 2023; 1h 57min ;Drame;NA;NA;Lucie Borleteau;NA;Zita Hanrot;Louise Chevillotte;Laure Giappiconi;3,0;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=290508.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=200902.html;Lucie Borleteau;France;NA;Pyramide Distribution;0;-;Français;17 767 entrées;2;3;0
A propos de Joan;14 septembre 2022; 1h 41min ;Drame;Romance;NA;Laurent Larivière;NA;Isabelle Huppert;Lars Eidinger;Freya Mavor;2,9;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=279601.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=252552.html;Laurent Larivière;France;Allemagne;Haut et Court;2            ;4,3M€;Français;13 955 entrées;11;19;0
A Simple Lie;8 avril 2023; 1h 38min ;Comédie;Drame;NA;Biodun Stephen;NA;Bukunmi Adeaga-Ilori;Bisola Aiyeola;Emmanuel Ikubese;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=314714.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=904703.html;NA;Nigéria;NA;NA;0;-;Anglais;NA;NA;NA;NA
À travers ma fenêtre;4 février 2022; 1h 53min ;Drame;Romance;NA;Marçal Forès;NA;Julio Peña (III);Clara Galle;Pilar Castro;NA;2,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=292050.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=202940.html;Marçal Forès;Espagne;NA;NA;0;-;Espagnol;NA;1;NA;NA
Abandoned;5 décembre 2022; Drame, Thriller;Drame;Thriller;NA;Spencer Squire;NA;Emma Roberts;John Gallagher Jr.;Michael Shannon;NA;1,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=297833.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=948299.html;Jessica Scott;U.S.A.;NA;NA;0;-;Anglais;NA;NA;3;0
Aboubakar et moi (Chronique d'un confinement);29 juin 2022; 1h 27min ;Drame;Romance;Thriller;Rémi Lange;NA;Aboubakar Soumahoro;Rémi Lange;Harouna Diarra;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=303563.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=18868.html;Rémi Lange;France;NA;NA;0;-;Français;NA;0;NA;0
About Fate;16 décembre 2022; 1h 40min ;Comédie;Romance;NA;Marius Balchunas;NA;Emma Roberts;Thomas Mann (II);Madelaine Petsch;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=292642.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=45120.html;Tiffany Paulsen;U.S.A.;NA;NA;0;-;Anglais;NA;0;3;0
About Kim Sohee;5 avril 2023; 2h 17min ;Policier;Drame;NA;July Jung;NA;Doona Bae;Kim Si-eun;Choi Hee-jin;3,8;4,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=303802.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=681822.html;July Jung;Corée du Sud;NA;Arizona Distribution;2            ;-;Coréen;92 960 entrées;7;0;NA
Absolument royal !;20 janvier 2022; 1h 36min ;Comédie;Romance;NA;Rick Jacobson;NA;Laura Marano;Mena Massoud;Chelsie Preston-Crayford;NA;2,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=289889.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=105710.html;Holly Hester;U.S.A.;NA;NA;0;-;Anglais;NA;1;0;0
Acharya;29 avril 2022; 2h 16min ;Action;Drame;NA;Koratala Siva;NA;Chiranjeevi Siva Sankara Vara Prasad Konidela;Ram Charan;Pooja Hegde;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=291352.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=838202.html;Koratala Siva;Inde;NA;Desi Entertainment Paris;0;-;Autre;NA;NA;0;NA
Adade Sundara;15 juin 2022; 2h 56min ;Comédie;NA;NA;Vivek Athreya;NA;Nani;Nazriya Nazim;NA;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=305384.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=871777.html;NA;Inde;NA;Friday Entertainment;0;-;Tamoul;NA;NA;NA;0
Adam à travers le temps;11 mars 2022; 1h 46min ;Action;Aventure;Comédie;Shawn Levy;NA;Ryan Reynolds;Mark Ruffalo;Jennifer Garner;3,2;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=214404.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=69741.html;Jonathan Tropper;U.S.A.;NA;NA;0;-;Anglais;NA;9;5;4
Adam By Eve: A Live In Animation;24 octobre 2022; 0h 58min ;Animation;Musical;NA;NA;NA;NA;NA;NA;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=302205.html;NA;NA;Japon;NA;NA;0;-;Japonais;NA;NA;0;0
After - Chapitre 4;22 septembre 2022; 1h 35min ;Drame;Romance;NA;Castille Landon;NA;Josephine Langford;Hero Fiennes Tiffin;Louise Lombard;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=286244.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=222935.html;Sharon Soboil;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Aftersun;1 février 2023; 1h 42min ;Drame;NA;NA;Charlotte Wells;NA;Paul Mescal;Frankie Corio;Celia Rowlson-Hall;4,0;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=303803.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=962632.html;Charlotte Wells;Grande-Bretagne;U.S.A.;Condor Distribution / MUBI;4         15            ;-;Anglais;133 571 entrées;NA;1;NA
Ah Belinda;7 avril 2023; 1h 37min ;Comédie;Fantastique;NA;Deniz Yorulmazer;NA;Neslihan Atagül;Serkan Çayoğlu;Necip Memili;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=305983.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=821191.html;Hakan Bonomo;Turquie;NA;NA;0;-;Turc;NA;NA;0;NA
Ailleurs si j'y suis;29 mars 2023; 1h 43min ;Comédie;NA;NA;François Pirot;NA;Jérémie Renier;Suzanne Clément;Jean-Luc Bideau;3,1;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=286039.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=144984.html;François Pirot;Belgique;Luxembourg;UFO Distribution;0;-;Français;16 880 entrées;1;5;1
Aime-moi !;13 avril 2023; 1h 28min ;Drame;Romance;NA;Eyal Kantor;NA;Yoav Keren;Gal Amitai;Mendi Barsheshet;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=302577.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=959437.html;Didi Lubetzky;Israël;NA;NA;0;-;Hebreu;NA;NA;NA;NA
Air Force The Movie: Danger Close;3 février 2023; 1h 43min ;Action;Aventure;Guerre;Zulkarnain Azhar;Frank See;Aiman Hakim Ridza;Adi Putra;Nas-T;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=312304.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=984329.html;NA;Malaisie;NA;NA;0;-;Malais;NA;NA;NA;NA
Aakasam;9 novembre 2022; 2h 26min ;Drame;Romance;NA;Ra Karthik;R. Karthik;Ashok Selvan;Ritu Varma;Aparna;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=309815.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=978495.html;NA;Inde;NA;Friday Entertainment;0;-;Tamoul;NA;NA;0;NA
All My Friends Hate Me;1 janvier 2023; 1h 33min ;Comédie;Epouvante-horreur;NA;Andrew Gaynord;NA;Tom Stourton;Georgina Campbell;Christopher Fairbank;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=293169.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=769857.html;Tom Stourton;Grande-Bretagne;NA;Filmo;0;-;Anglais;NA;0;0;0
Alerte rouge;11 mars 2022; 1h 40min ;Animation;Comédie;Famille;Domee Shi;NA;Rosalie Chiang;Sandra Oh;Ava Morse;3,7;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=263058.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=837712.html;Domee Shi;U.S.A.;NA;NA;3            ;-;Anglais;NA;NA;NA;5
Alice;26 septembre 2022; 1h 38min ;Drame;Thriller;NA;Krystin Ver Linden;NA;Keke Palmer;Common;Jonny Lee Miller;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=266972.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=799627.html;Krystin Ver Linden;U.S.A.;NA;NA;1           ;-;Anglais;NA;NA;0;0
Alitée;4 mai 2023; 1h 31min ;Epouvante-horreur;NA;NA;Lori Evans Taylor;NA;Melissa Barrera;Guy Burnet;Edie Inksetter;NA;1,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=248506.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=121296.html;Lori Evans Taylor;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Alma Viva;12 avril 2023; 1h 28min ;Drame;NA;NA;Cristèle Alves Meira;NA;Lua Michel;Ana Padrão;Jacqueline Corado;3,3;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=300369.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=768426.html;Cristèle Alves Meira;Portugal;France;Tandem;9            ;-;Portugais;25 545 entrées;2;NA;0
Amandla;21 janvier 2022; 1h 46min ;Policier;Drame;Judiciaire;Nerina De Jager;NA;Lemogang Tsipa;Thabo Rametsi;Israel Matseke-Zulu;NA;2,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=299676.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=953005.html;Nerina De Jager;Afrique du Sud;Canada;NA;0;-;Anglais, Afrikaans, Zulu;NA;NA;0;0
Ambulance;23 mars 2022; 2h 16min ;Action;Thriller;NA;Michael Bay;NA;Jake Gyllenhaal;Yahya Abdul-Mateen II;Eiza Gonzalez;3,1;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=240617.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=22046.html;Chris Fedak;U.S.A.;NA;Universal Pictures International France;0;-;Anglais, Afrikaans, Zulu;250 364 entrées;3;3;1
American Girl;7 octobre 2022; 1h 55min ;Drame;Thriller;NA;Mike Barker;NA;Mila Kunis;Chiara Aurelia;Finn Wittrock;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=236994.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=26163.html;Jessica Knoll;U.S.A.;NA;NA;0;-;Anglais;NA;0;1;0
American Murderer;30 janvier 2023; Policier, Drame, Thriller;Policier;Drame;Thriller;Matthew Gentile;NA;Tom Pelphrey;Ryan Phillippe;Idina Menzel;NA;2,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=288772.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=921215.html;Matthew Gentile;U.S.A.;NA;NA;0;-;Anglais;NA;NA;0;1
Amis d'enfance;5 juillet 2022; 1h 37min ;Comédie dramatique;NA;NA;Sam Karmann;Serge Khalfon;Isabelle Gélinas;Nicolas Briançon;Francois Vincentelli;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=305670.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=8401.html;Catherine Wimphen;France;NA;France 2;0;-;Français;NA;3;1;0
Amour Sucré;2 décembre 2022; Comédie, Romance;Comédie;Romance;NA;Jonathan MacPherson;NA;Mercedes de la Cruz;Rhiannon Fish;Kurt Szarka;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=297036.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=945815.html;Haidyn Harvey;U.S.A.;NA;NA;0;-;Anglais;NA;NA;NA;NA
Amour, set et match;9 décembre 2022; 1h 31min ;Comédie;Romance;NA;Christine Conradt;NA;Cristine Prosperi;Dale Moss;Fred Galle;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=311134.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=235656.html;NA;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;NA
Amsterdam;1 novembre 2022; 2h 14min ;Policier;Drame;Thriller;David O. Russell;NA;Christian Bale;Margot Robbie;John David Washington;2,9;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=281087.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=31942.html;David O. Russell;U.S.A.;NA;The Walt Disney Company France;1           ;-;Anglais;229 090 entrées;6;6;12
Ammu;18 octobre 2022; Drame;Drame;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=309337.html;NA;NA;Inde;NA;NA;0;-;Autre;NA;NA;0;0
An Action Hero;27 janvier 2023; 2h 10min ;Action;Comédie;NA;Anirudh Iyer;NA;Ayushmann Khurrana;Jaideep Ahlawat;Amro Mahmoud;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=297192.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=946360.html;NA;Inde;NA;NA;0;-;Hindi;NA;NA;0;0
An Inconvenient Love;16 mars 2023; 2h 04min ;Comédie;Romance;NA;Petersen Vargas;NA;Belle Mariano;Donny Pangilinan;JC Alcantara;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=310366.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=979782.html;NA;Philippines;NA;NA;0;-;Anglais, Filipino;NA;NA;NA;NA
Ananya;24 août 2022; 2h 02min ;Drame;NA;NA;Pratap Phad;NA;Hruta Durgule;Amey Wagh;Chetan Chitnis;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=307621.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=972935.html;NA;Inde;NA;NA;0;-;-;NA;NA;NA;NA
Anek;24 octobre 2022; Action, Thriller;Action;Thriller;NA;Anubhav Sinha;NA;Ayushmann Khurrana;J. D. Chakravarthy;Kumud Mishra;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=304267.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=239000.html;NA;Inde;NA;NA;0;-;Hindi;NA;0;0;NA
Annie Colère;30 novembre 2022; 2h 00min ;Comédie dramatique;NA;NA;Blandine Lenoir;NA;Laure Calamy;Zita Hanrot;India Hair;3,8;4,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=280229.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=14395.html;Blandine Lenoir;France;NA;Diaphana Distribution;7            ;3,5 M€;Français;167 221 entrées;5;2;3
Aníkúlápó;30 septembre 2022; 2h 22min ;Drame;Fantastique;NA;Kunle Afolayan;NA;Bimbo Ademoye;Dele Odule;Kunle Remi;NA;2,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=307560.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=684203.html;NA;Nigéria;NA;NA;0;-;Anglais;NA;0;NA;NA
Animals;15 février 2023; 1h 32min ;Policier;Drame;NA;Nabil Ben Yadir;NA;Soufiane Chilah;Gianni Guettaf;Vincent Overath;2,1;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=297404.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=155677.html;Nabil Ben Yadir;Belgique;NA;JHR Films;0;-;Français;3 392 entrées;1;0;NA
Ante Sundharaniki;10 juin 2022; 2h 56min ;Comédie;Romance;NA;Vivek Athreya;NA;Nani;Nazriya Nazim;Bhanu Prakash;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=304831.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=871777.html;NA;Inde;NA;Friday Entertainment;0;-;Autre;NA;NA;NA;0
Apaches;29 mars 2023; 1h 35min ;Drame;Historique;NA;Romain Quirot;NA;Alice Isaaz;Niels Schneider;Rod Paradot;2,8;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=295614.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=690480.html;Romain Quirot;Belgique;France;Tandem;0;-;Français;46 311 entrées;NA;1;2
Apples;13 avril 2022; 1h 30min ;Comédie;Drame;NA;Christos Nikou;NA;Aris Servetalis;Sofia Georgovassili;Anna Kalaitzidou;2,9;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=286141.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=913213.html;Christos Nikou;Grèce;NA;Bodega Films;0;-;Grec;693 entrées;NA;0;0
Après le silence;16 novembre 2022; 1h 30min ;Drame;NA;NA;Jérôme Cornuau;NA;Caroline Anglade;Clovis Cornillac;Alice David;3,7;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=298552.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=20491.html;Raphaëlle Roudaut;France;NA;France 2;0;-;Français;NA;2;0;7
Aqua Teen Forever: Plantasm;19 mars 2023; 1h 19min ;Animation;Comédie;NA;Matt Maiellaro;Dave Willis;Dana Snyder;Carey Means;Dave Willis;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=311329.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=185333.html;Matt Maiellaro;U.S.A.;NA;adult swim;0;-;Anglais;NA;0;0;0
Aaraattu;18 février 2022; 2h 47min ;Action;NA;NA;B. Unnikrishnan;NA;Mohanlal;NA;NA;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=300744.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=572968.html;NA;Inde;NA;Friday Entertainment;0;-;Autre;NA;NA;0;0
Argentina, 1985;21 octobre 2022; 2h 20min ;Drame;NA;NA;Santiago Mitre;NA;Ricardo Darín;Alejandra Flechner;Paula Ransenberg;NA;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=295782.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=221671.html;Mariano Llinás;Argentine;U.S.A.;NA;1         6            ;-;Espagnol;NA;3;1;0
Ariyippu;20 décembre 2022; 1h 47min ;Drame;NA;NA;Mahesh Narayanan;NA;Kunchacko Boban;Faisal Malik;Sidharth Bhardwaj;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=306115.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=969029.html;Mahesh Narayanan;Inde;NA;NA;0;-;Autre;NA;NA;NA;NA
Armageddon Time;9 novembre 2022; 1h 55min ;Drame;NA;NA;James Gray;NA;Anne Hathaway;Jeremy Strong;Banks Repeta;4,4;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=274315.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=20173.html;James Gray;U.S.A.;NA;Universal Pictures International France;8            ;-;Anglais;395 569 entrées;1;4;1
Arthur, malédiction;29 juin 2022; 1h 27min ;Epouvante-horreur;NA;NA;Barthélémy Grossmann;NA;Vadim Agid;Lola Andreoni;Mathieu Berger;1,6;1,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=302103.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=181452.html;Luc Besson;France;NA;Apollo Films;0;2,24 M€;Français;187 717 entrées;0;NA;0
As bestas;20 juillet 2022; 2h 17min ;Drame;Thriller;NA;Rodrigo Sorogoyen;NA;Marina Foïs;Denis Ménochet;Luis Zahera;4,2;4,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=297016.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=223335.html;Isabel Peña;Espagne;France;Le Pacte;2         2            ;-;Espagnol, Français;327 365 entrées;3;1;1
Ashiap Man;16 novembre 2022; 1h 42min ;Action;Aventure;Comédie dramatique;NA;NA;Arswendy Bening Swara;Samuel Rizal;Yayan Ruhian;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=310336.html;NA;NA;Indonésie;NA;NA;0;-;Indonésien;NA;NA;NA;NA
Ashkal, l'enquête de Tunis;25 janvier 2023; 1h 32min ;Thriller;NA;NA;Youssef Chebbi;NA;Fatma Oussaifi;Mohamed Houcine Grayaa;Rami Harrabi;3,7;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=303763.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=545206.html;Youssef Chebbi;Tunisie;France;Jour2fête;4            ;-;Arabe;24 557 entrées;13;NA;NA
