Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
Les Héroïques;20 octobre 2021; 1h 39min ;Comédie;Drame;NA;Maxime Roy;NA;François Creton;Roméo Créton;Richard Bohringer;3,4;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=272219.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=831298.html;François Creton;France;NA;Pyramide Distribution;2            ;-;Français;12 576 entrées;2;0;NA
Les incroyables talents de Noël;14 octobre 2022; 1h 23min ;Romance;NA;NA;Robert Lieberman;NA;Laura Osnes;Kyle Selig;Pat Monahan;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=309313.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=60552.html;Nina Weinman;U.S.A.;NA;NA;0;-;Anglais;NA;1;NA;NA
Les Intranquilles;29 septembre 2021; 1h 54min ;Drame;NA;NA;Joachim Lafosse;NA;Leïla Bekhti;Damien Bonnard;Gabriel Merz Chammah;3,9;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=277190.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=96566.html;Joachim Lafosse;Belgique;France;Les Films du Losange;17            ;-;Français;147 476 entrées;2;3;1
Les Lendemains de veille;9 novembre 2022; 1h 25min ;Comédie dramatique;NA;NA;Loïc Paillard;NA;Denis Eyriey;Marica Soyer;François Pouron;2,8;4,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=294298.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=565367.html;Loïc Paillard;France;NA;Star Invest Films France;1           ;-;Français;4 115 entrées;0;6;NA
Les liens du sang;3 janvier 2023; 2h 02min ;Policier;Drame;Thriller;Manuel Martín Cuenca;NA;Javier Gutiérrez;Patricia López Arnaiz;Maria Morales;NA;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=278936.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=95577.html;Manuel Martín Cuenca;Espagne;NA;NA;6            ;-;Espagnol;NA;8;2;0
Les malheurs de Ruby : d'or et de lumière;5 octobre 2021; 1h 30min ;Drame;NA;NA;Michael Robison;NA;Raechelle Banno;Kristian Alfonso;Karina Banno;NA;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=296332.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=86479.html;Scarlett Lacey;U.S.A.;NA;TF1;0;-;Anglais;NA;0;0;0
Les malheurs de Ruby : joyau caché;5 octobre 2021; 1h 30min ;Drame;NA;NA;Michael Robison;NA;Raechelle Banno;Kristian Alfonso;Evan Roderick;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=296335.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=86479.html;Andy Cochran;U.S.A.;NA;TF1;0;-;Anglais;NA;0;0;0
Les malheurs de Ruby : un nouvel éclat;4 octobre 2021; 1h 30min ;Drame;NA;NA;David Bercovici-Artieda;NA;Raechelle Banno;Karina Banno;Richard Harmon;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=296337.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=512923.html;Richard Blaney;U.S.A.;NA;TF1;0;-;Anglais;NA;NA;0;0
Les Méchants;8 septembre 2021; 1h 24min ;Comédie;NA;NA;Mouloud Achour;Dominique Baumard;Roman Frayssinet;Djimo;Ludivine Sagnier;2,7;1,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=282008.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=218514.html;Mouloud Achour;France;NA;Le Pacte;1           ;-;Français;137 793 entrées;0;NA;0
Les Meilleures;9 mars 2022; 1h 21min ;Drame;Romance;NA;Marion Desseigne-Ravel;NA;Lina El Arabi;Esther Bernet-Rollande;Kiyane Benamara;3,4;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=274260.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=568275.html;Marion Desseigne-Ravel;France;NA;Le Pacte;1         1           ;-;Français;7 875 entrées;NA;0;NA
Les Meneuses;25 août 2022; 1h 21min ;Comédie dramatique;NA;NA;Ruth Caudeli;NA;NA;NA;NA;NA;2,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=295013.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=854349.html;NA;Colombie;NA;NA;0;-;Espagnol;NA;NA;0;0
Les Mitchell contre les machines;30 avril 2021; 1h 54min ;Animation;Comédie;Famille;Michael Rianda;Jeff Rowe;Abbi Jacobson;Danny McBride;Maya Rudolph;4,0;4,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=264970.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=598499.html;Michael Rianda;U.S.A.;NA;Sony Pictures Releasing France;2            ;-;Anglais;NA;NA;0;2
