Titre;genre1;genre2;réalisateur_1;actor_1;actor_2;actor_3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real_awards;first_actor_awards;second_actor_awards;length_corrected;day;month;year;note_spectator_word;nomi
The Guilty;Drame;Thriller;Antoine Fuqua;Jake Gyllenhaal;Riley Keough;Peter Sarsgaard;3.0;3.1;Nic Pizzolatto;U.S.A.;;Anglais;5.0;3.0;1.0;90;1;octobre;2021;good;0
The Harder They Fall;Drame;Western;Jeymes Samuel;Jonathan Majors;Idris Elba;Zazie Beetz;3.5;2.9;Jeymes Samuel;U.S.A.;;Anglais;0.0;1.0;4.0;136;3;novembre;2021;soso;0
The House Next Door: Meet the Blacks 2;Comédie;Epouvante-horreur;Deon Taylor;Mike Epps;Danny Trejo;Zulay Henao;;2.0;Corey Harrell;U.S.A.;;Anglais;0.0;0.0;0.0;97;31;octobre;2022;bad;0
The Humans;Comédie;Drame;Stephen Karam;Richard Jenkins;Jayne Houdyshell;Amy Schumer;;3.0;Stephen Karam;U.S.A.;;Anglais;0.0;1.0;0.0;107;12;août;2022;soso;0
The Innocents;Drame;Fantastique;Eskil Vogt;Rakel Lenora Fløttum;Alva Brynsmo Ramstad;Mina Yasmin Bremseth Asheim;3.8;3.4;Eskil Vogt;Norvège;Kinovista / Les Bookmakers;Norvégien;8.0;0.0;0.0;117;9;février;2022;good;13
The Judgement;Drame;Judiciaire;Sander Burger;Fedja Van Huet;Yorick Van Wageningen;Lies Visschedijk;;3.2;Sander Burger;Pays-Bas;;Néerlandais;0.0;0.0;0.0;130;15;mai;2022;good;0
The King's Man : Première Mission;Action;Espionnage;Matthew Vaughn;Ralph Fiennes;Gemma Arterton;Rhys Ifans;3.2;3.4;Matthew Vaughn;Grande-Bretagne;The Walt Disney Company France;Anglais;4.0;4.0;1.0;131;29;décembre;2021;good;0
The Kissing Booth 3;Comédie;Romance;Vince Marcello;Joey King;Jacob Elordi;Joel Courtney;;2.4;Jay Arnold;U.S.A.;;Anglais;0.0;3.0;0.0;113;11;août;2021;soso;0
The Last Son;Action;Western;Tim Sutton;Sam Worthington;Machine Gun Kelly;Thomas Jane;;2.0;Greg Johnson;U.S.A.;;Anglais;1.0;0.0;0.0;98;13;décembre;2021;bad;5
The Last Warrior: Root of Evil;Aventure;Comédie;Dmitriy Dyachenko;Viktor Khorinyak;Mila Sivatskaya;Ekaterina Vilkova;;2.0;Pavel Danilov;Russie;Mediawan;Russe;0.0;0.0;0.0;121;25;mai;2022;bad;0
The Lost Daughter;Drame;;Maggie Gyllenhaal;Olivia Colman;Jessie Buckley;Dakota Johnson;3.4;2.9;Maggie Gyllenhaal;U.S.A.;;Anglais;2.0;10.0;2.0;122;31;décembre;2021;soso;11
The Manor;Epouvante-horreur;;Axelle Carolyn;Barbara Hershey;Bruce Davison;Stacey Travis;;1.7;Axelle Carolyn;U.S.A.;;Anglais;0.0;2.0;1.0;81;8;octobre;2021;bad;0
The Map Of Tiny Perfect Things;Comédie;Fantastique;Ian Samuels;Kathryn Newton;Kyle Allen;Josh Hamilton;3.0;3.4;Lev Grossman;U.S.A.;;Anglais;0.0;0.0;0.0;98;12;février;2021;good;0
The Medium;Epouvante-horreur;Thriller;Banjong Pisanthanakun;Narilya Gulmongkolpech;Sawanee Utoomma;Sirani Yankittikan;;2.6;Banjong Pisanthanakun;Thaïlande;The Jokers / Les Bookmakers;Thaï;0.0;0.0;0.0;131;15;juin;2022;soso;1
The Night Clerk;Policier;Drame;Michael Cristofer;Tye Sheridan;Ana de Armas;Helen Hunt;;2.2;Michael Cristofer;U.S.A.;;Anglais;0.0;1.0;1.0;90;29;avril;2020;soso;0
The North Sea;Action;Drame;John Andreas Andersen;Kristine Kujath Thorp;Rolf Kristian Larsen;Anders Baasmo Christiansen;;3.2;Harald Rosenløw-Eeg;Norvège;;Norvégien;0.0;0.0;0.0;106;7;juin;2022;good;0
The Novice;Drame;Thriller;Lauren Hadaway;Isabelle Fuhrman;Amy Forsyth;Dilone;3.2;3.2;Lauren Hadaway;U.S.A.;Star Invest Films France;Anglais;0.0;0.0;0.0;97;11;janvier;2023;good;5
The Possessed;Epouvante-horreur;;Chris Sun;John Jarratt;Lincoln Lewis;Simone Buchanan;;1.7;Chris Sun;Australie;;Anglais;0.0;0.0;0.0;95;17;novembre;2022;bad;0
The Power of the Dog;Drame;Western;Jane Campion;Benedict Cumberbatch;Kirsten Dunst;Jesse Plemons;3.9;3.5;Jane Campion;Grande-Bretagne;;Anglais;6.0;1.0;1.0;128;1;décembre;2021;good;29
The Protégé;Action;Thriller;Martin Campbell;Maggie Q;Samuel L. Jackson;Michael Keaton;;3.0;Richard Wenk;U.S.A.;;Anglais;1.0;1.0;4.0;101;27;décembre;2021;soso;0
The Requin;Thriller;;Le-Van Kiet;Alicia Silverstone;James Tupper;Deirdre O'Connell;;1.0;Le-Van Kiet;U.S.A.;;Anglais;0.0;1.0;0.0;89;18;mai;2022;catastrophic;1
The Retaliators;Epouvante-horreur;Thriller;Samuel Gonzalez Jr.;Michael Lombardi;Marc Menchaca;Joseph Gatt;;2.8;Darren Geare;U.S.A.;;Anglais;0.0;0.0;0.0;110;15;septembre;2022;soso;0
The Sadness;Epouvante-horreur;;Rob Jabbaz;Regina Lei;Berant Zhu;Tzu-Chiang Wang;3.2;2.7;Rob Jabbaz;Taïwan;ESC Films;Mandarin;0.0;0.0;0.0;100;6;juillet;2022;soso;5
The Seed;Epouvante-horreur;Science Fiction;Sam Walker;Lucy Martin (II);Chelsea Edge;Sophie Vavasseur;;1.4;Sam Walker;U.S.A.;;Anglais;0.0;0.0;0.0;91;4;août;2022;bad;1
The Seven Deadly Sins: Cursed by Light;Action;Animation;Takayuki Hamana;Sora Amamiya;Jun Fukuyama;Yûki Kaji;;3.1;Rintarou Ikeda;Japon;;Japonais;0.0;0.0;0.0;79;1;octobre;2021;good;0
The Seventh Day;Epouvante-horreur;Thriller;Justin P. Lange;Guy Pearce;Vadhir Derbez;Keith David;;1.7;Justin P. Lange;U.S.A.;;Anglais;0.0;1.0;0.0;87;24;juin;2021;bad;0
The Soul;Drame;Science Fiction;Wei-Hao Cheng;Chen Chang;Janine Chun-Ning Chang;Christopher Ming-Shun Lee;;3.0;Wei-Hao Cheng;Chine;;Chinois;0.0;0.0;0.0;125;7;novembre;2022;soso;0
The Stranger;Drame;;Ameer Fakher Eldin;Ashraf Barhoum;Amal Kais;Mohammad Bakri;;3.4;Ameer Fakher Eldin;Palestine;;Arabe;0.0;0.0;0.0;112;19;avril;2023;good;0
The Suicide Squad;Action;Aventure;James Gunn;Margot Robbie;Idris Elba;John Cena;3.7;3.3;James Gunn;U.S.A.;Warner Bros. France;Anglais;1.0;12.0;4.0;132;28;juillet;2021;good;0
The Survivalist;Action;Thriller;Jon Keeyes;Jonathan Rhys-Meyers;John Malkovich;Jenna Leigh Green;;1.4;Matthew Rogers (III);U.S.A.;;Anglais;0.0;1.0;1.0;91;23;février;2022;bad;0
The Tender Bar;Biopic;Drame;George Clooney;Ben Affleck;Tye Sheridan;Daniel Ranieri;2.6;3.4;William Monahan;U.S.A.;;Anglais;15.0;14.0;1.0;106;7;janvier;2022;good;1
The Tomorrow War;Action;Science Fiction;Chris McKay;Chris Pratt;Yvonne Strahovski;J.K. Simmons;2.5;3.3;Zach Dean;U.S.A.;;Anglais;1.0;0.0;3.0;140;2;juillet;2021;good;0
The Tragedy of Macbeth;Drame;;Joel Coen;Denzel Washington;Frances McDormand;Alex Hassell;3.6;3.4;Joel Coen;U.S.A.;;Anglais;15.0;8.0;10.0;105;14;janvier;2022;good;5
The Trip;Action;Thriller;Tommy Wirkola;Noomi Rapace;Aksel Hennie;Atle Antonsen;;3.4;Tommy Wirkola;Norvège;The Jokers;Norvégien;2.0;2.0;1.0;114;19;octobre;2021;good;0
The Wait;Drame;Romance;Aku Louhimies;Inka Kallén;Andrei Alén;Aku Hirviniemi;;3.3;Aku Louhimies;Finlande;;Finnois;5.0;0.0;0.0;101;13;juin;2022;good;0
