Titre;mois_sortie;annee_sortie;date_sortie;duree_min;genre1;réalisateur_1;actor_1;actor 2;note_spectators;Scer;tiolity 1;nomitions;language;real awards;first actor awards;Second actor awards
The Contractor;4;2022;4 avril 2022;104;Action;Tarik Saleh;Chris Pine;Ben Foster;2,4;J.P. Davis;U.S.A.;0;Anglais;7;0;1
The Desperate Hour;7;2022;16 juillet 2022;84;Drame;Phillip Noyce;omi Watts;Colton Gobbo;1,8;Chris Sparling;Cada;0;Anglais;3;2;
The Devil You Know;4;2022;22 avril 2022;;Drame;Charles Murray (II);Omar Epps;Michael Ealy;2,6;Charles Murray (II);U.S.A.;0;Anglais;;0;1
The Devil’s Conspiracy;3;2023;30 mars 2023;111;Aventure;than Frankowski;Peter Mensah;Alice Orr-Ewing;1,8;Ed Alan;U.S.A.;0;Anglais;0;0;0
The Division;7;1905;2021;;Action;Rawson Marshall Thurber;Jake Gyllenhaal;Jessica Chastain;3,2;Rafe Judkins;U.S.A.;0;Anglais;1;3;6
The Emigrants;5;2020;10 mai 2020;148;Drame;Erik Poppe;Lisa Carlehed;Gustaf Skarsgård;2,9;Siv Rajendram Eliassen;Suède;0;Suédois;1;0;0
The Enforcer;3;2023;2 mars 2023;90;Action;;Antonio Banderas;Mojean Aria;2,6;;U.S.A.;0;Anglais;;3;0
The Fabelmans;2;2023;22 février 2023;151;Biopic;Steven Spielberg;Gabriel LaBelle;Michelle Williams;4,3;Steven Spielberg;U.S.A.;211;Anglais;12;;5
The Forgiven;5;2023;1 mai 2023;117;Drame;John Michael McDogh;Jessica Chastain;Ralph Fiennes;2,5;John Michael McDogh;Grande-Bretagne;0;Anglais;1;6;4
The Fury;8;2022;25 août 2022;;Thriller;;;;2,7;;Afrique du Sud;0;Anglais;;0;0
The Gray Man;7;2022;22 juillet 2022;128;Action;Joe Russo;Ryan Gosling;Chris Evans;3;Joe Russo;U.S.A.;0;Anglais;0;5;2
The Greatest Beer Run Ever;9;2022;30 septembre 2022;126;Biopic;Peter Farrelly;Zac Efron;Russell Crowe;3,8;Peter Farrelly;U.S.A.;0;Anglais;4;2;5
The Haunting of Pendle Hill;5;2023;14 mai 2023;84;Epouvante-horreur;Richard John Taylor;Nicholas Ball;Lowri Watts-Joyce;2,5;;U.S.A.;0;Anglais;;0;
The Honeymoon;1;2023;6 janvier 2023;97;Comédie;Dean Craig;Pico Alexander;Asim Chaudhry;1,8;Dean Craig;Grande-Bretagne;0;Anglais;0;0;0
The Immaculate Room;2;2023;22 février 2023;92;Drame;Mukunda Michael Dewil;Emile Hirsch;Kate Bosworth;2,3;Mukunda Michael Dewil;U.S.A.;0;Anglais;0;4;3
The In Between;4;2022;8 avril 2022;115;Drame;Arie Posin;Joey King;Kyle Allen;3,3;Marc Klein;U.S.A.;0;Anglais;1;3;0
The Kashmir Files;3;2022;23 mars 2022;170;Drame;Vivek Agnihotri;Anupam Kher;Mithun Chakraborty;3;Vivek Agnihotri;Inde;0;Hindi;;0;1
The Killer - Mission : Save The Girl;2;2023;23 février 2023;95;Action;Choi Jae-Hoon;Hyuk Jang;;2,8;;Corée du Sud;0;Coréen;;0;0
The King's Daughter;4;2023;24 avril 2023;88;Aventure;Sean Mcmara;Pierce Brosn;Kaya Scodelario;2,2;James Schamus;U.S.A.;3;Anglais;0;4;0
The Lair;1;2023;13 janvier 2023;97;Action;Neil Marshall;Charlotte Kirk;Jothan Howard (I);1,5;Charlotte Kirk;Grande-Bretagne;0;Anglais;1;0;0
The Last Victim;11;2022;15 novembre 2022;111;Action;;Ron Perlman;Ali Larter;2;;U.S.A.;0;Anglais;;1;4
The Ledge;8;2022;24 août 2022;86;Thriller;Howard J. Ford;Brittany Ashworth;Ben Lamb;2;Tom Boyle;Grande-Bretagne;0;Anglais;10;0;0
The Legend;7;2022;28 juillet 2022;150;Action;J.D. Jerry;Legend Saravan;Urvashi Rautela;3;J.D. Jerry;Inde;0;Tamoul;;;0
The Lost Lotteries;11;2022;16 novembre 2022;106;Comédie;Prueksa Amaruji;Wongravee teeton;Phantira Pipityakorn;2,9;Prueksa Amaruji;Thaïlande;0;Thaï;;;
The Man for the Job;9;2022;9 septembre 2022;;Drame;Niyi Akinmolayan;Uzor Arukwe;Alibaba;;;Nigéria;0;Anglais;;;
The Man from Toronto;6;2022;24 juin 2022;110;Action;Patrick Hughes (II);Woody Harrelson;Kevin Hart;2,6;Robbie Fox;U.S.A.;0;Anglais;1;2;0
The Moderator;8;2022;25 août 2022;81;Action;Zhor Fassi-Fihri;Irma Lake;Robert Knepper;1,4;Hicham Hajji;U.S.A.;0;Anglais;;;1
The Munsters;7;1905;2022;;Comédie;Rob Zombie;Sheri Moon Zombie;Cassandra Peterson;1,8;Rob Zombie;U.S.A.;0;Anglais;2;0;0
The Nocebo Effect;3;2023;8 mars 2023;96;Drame;Lorcan Finnegan;Eva Green;Chai Focier;2,7;Garret Shanley;Irlande;6;Anglais;1;1;
The Noel Diary;11;2022;24 novembre 2022;99;Comédie dramatique;Charles Shyer;Justin Hartley;Barrett Doss;2,9;David Golden (II);U.S.A.;0;Anglais;2;0;0
The Northman;5;2022;11 mai 2022;137;Action;Robert Eggers;Alexander Skarsgård;Nicole Kidman;3,1;Robert Eggers;U.S.A.;0;Anglais;3;3;12
The Old Way;4;2023;13 avril 2023;95;Action;Brett Donowho;Nicolas Cage;Ryan Kiera Armstrong;1,9;Carl W. Lucas;U.S.A.;0;Anglais;0;3;0
The Order of Things;5;2023;6 mai 2023;98;Comédie;Sidney Esiri;Timini Egbuson;Tope Olowoniyan;;;Nigéria;0;Anglais;;;
The Outfit;11;2022;18 novembre 2022;106;Policier;Graham Moore;Mark Rylance;Dylan O'Brien;3,6;Graham Moore;U.S.A.;1;Anglais, Français;;2;0
The Pale Blue Eye;1;2023;6 janvier 2023;130;Policier;Scott Cooper;Christian Bale;Harry Melling;3,5;Scott Cooper;U.S.A.;0;Anglais;1;6;0
The People We Hate at the Wedding;11;2022;18 novembre 2022;100;Comédie;Claire Scanlon;Allison Janney;Ben Platt;2,1;Lizzie Molyneux-Logelin;U.S.A.;0;Anglais;0;5;1
The Perfect Arrangement;7;2022;9 juillet 2022;;Comédie;Chiza Onuzo;Adunni Ade;Adebowale Adedayo;;;Nigéria;0;Anglais;0;;
The Pirates : À nous le trésor royal !;3;2022;2 mars 2022;126;Action;;Ha-Neul Kang;Hyo-ju Han;2,5;;Corée du Sud;0;Coréen;;0;
The Post-Truth World;1;2023;21 janvier 2023;120;Espionge;If Chen;Hsiao-chuan Chang;Edward Chen;3,2;;Taïwan;0;Chinois;;0;
The Price We Pay;2;2023;10 février 2023;85;Action;Ryûhei Kitamura;Emile Hirsch;Stephen Dorff;1,8;;U.S.A.;1;Anglais;2;4;0
The Privilege;2;2022;9 février 2022;107;Epouvante-horreur;Felix Fuchssteiner;Max Schimmelpfennig;Lea van Acken;1,7;Eckhard Vollmar;Allemagne;0;Allemand;;0;0
The Quiet Girl;4;2023;12 avril 2023;96;Drame;Colm Bairéad;Catherine Clinch;Carrie Crowley;4,1;Colm Bairéad;Irlande;3;Gaélique;;;
The Quintessential Quintuplets;11;2022;3 novembre 2022;136;Animation;Masato Jinbo;Ka Hazawa;Itō Miku;3,7;Keiichiro Ochi;Japon;0;Japois;0;0;
The Reef 2: Traquées;11;2022;16 novembre 2022;92;Thriller;Andrew Traucki;Teressa Liane;Tim Ross;1,6;Andrew Traucki;Australie;0;Anglais;2;;0
The Roundup;12;2022;9 décembre 2022;106;Action;Sang-yong Lee;Ma Dong-seok;Son Seok-Koo;3,4;;Corée du Sud;0;Coréen;0;0;
The Seven Deadly Sins : Grudge of Edinburg Partie 1;12;2022;20 décembre 2022;52;Aventure;;Sora Amamiya;Yôhei Azakami;3;;Japon;0;Japois;;0;0
The Silent Twins;5;2023;1 mai 2023;113;Drame;Agnieszka Smoczynska;Letitia Wright;Tamara Lawrance;2,7;Andrea Seigel;U.S.A.;11;Anglais;4;1;0
The Son;3;2023;1 mars 2023;123;Drame;Florian Zeller;Hugh Jackman;Laura Dern;3,9;Florian Zeller;France;5;Anglais;1;2;7
The Spider;3;2023;16 mars 2023;131;Action;Ahmad der Galal;Ahmed el-Sakka;Mo Zaki;2,5;Mohamed yer;Egypte;0;Arabe;0;;0
The Storied Life of A.J. Fikry;5;2023;25 mai 2023;101;Comédie;Hans Canosa;Kul yyar;Christi Hendricks;2,5;Gabrielle Zevin;U.S.A.;0;Anglais;0;0;2
The Stranger;10;2022;19 octobre 2022;117;Policier;Thomas M. Wright;Joel Edgerton;Sean Harris;3,1;Thomas M. Wright;Australie;6;Anglais;0;3;0
The System;2;2023;27 février 2023;97;Action;Dallas Jackson;Tyrese Gibson;Jeremy Piven;2;Dallas Jackson;U.S.A.;0;Anglais;0;0;4
The Takeover;11;2022;1 novembre 2022;87;Action;Annemarie van de Mond;Geza Weisz;Frank Lammers;2,2;Tijs van Marle;Pays-Bas;0;Néerlandais;;;0
The Teacher;1;2023;6 janvier 2023;121;Drame;Vivek;Amala Paul;Hakkim Shah;;;Inde;0;-;;0;
The Twin;10;2022;26 octobre 2022;109;Epouvante-horreur;Taneli Mustonen;Teresa Palmer;Steven Cree;2,2;Taneli Mustonen;Finlande;0;Anglais;0;0;0
The Ultimate Oppa;12;2022;14 décembre 2022;108;Comédie;In-roi Whang;Bela Padilla;Jasper Cho;;;Corée du Sud;0;-;;;
The Valet;5;2022;20 mai 2022;124;Comédie;Richard Wong;Samara Weaving;Eugenio Derbez;3,1;Bob Fisher (VII);U.S.A.;0;Anglais;1;0;0
The Warriorr;7;2022;14 juillet 2022;155;Action;N. Linguswamy;Ram Pothineni;Aadhi Pinisetty;;;Inde;0;Tamoul;;;
The Weekend Away;3;2022;3 mars 2022;89;Thriller;Kim Farrant;Leighton Meester;Luke Norris;2,2;Sarah Alderson;U.S.A.;0;Anglais;0;1;0
The Weeknd x The Dawn FM Experience;2;2022;26 février 2022;34;Concert;;Jim Carrey;The Weeknd;3,7;;U.S.A.;0;Anglais;;3;
The Whale;3;2023;8 mars 2023;117;Drame;Darren Aronofsky;Brendan Fraser;Sadie Sink;4,1;Samuel D. Hunter;U.S.A.;210;Anglais;3;0;0
The Wildflower;4;2023;21 avril 2023;107;Drame;Biodun Stephen;Toyin Abraham;Mojisola Adebanjo;;;Nigéria;0;Anglais;;0;
The Woman King;9;2022;28 septembre 2022;135;Action;Gi Prince-Bythewood;Viola Davis;Thuso Mbedu;3,8;Da Stevens;U.S.A.;3;Anglais;0;8;
The Womb;3;2023;11 mars 2023;116;Epouvante-horreur;Fajar Nugros;ysila Mirdad;Dimas Anggara;2,9;;Indonésie;0;Indonésien;;;
The Wonder;11;2022;16 novembre 2022;108;Drame;Sebastián Lelio;Niamh Algar;Florence Pugh;3,1;Alice Birch;Grande-Bretagne;1;Anglais;4;1;1
There Are No Saints;4;2023;5 avril 2023;99;Action;Alfonso Pineda Ulloa;Shannyn Sossamon;Tim Roth;2,5;Paul Schrader;Mexique;0;Anglais;0;1;1
Thiruchitrambalam;8;2022;18 août 2022;150;Comédie;Mithran Jawahar;V Dhanush;Nithya Menen;3,5;Mithran Jawahar;Inde;0;Tamoul;0;0;0
Thor: God Of Thunder;12;2022;7 décembre 2022;87;Action;Noah Luke;Myrom Kingery;Vaune Suitt;1,4;Steve Doucette;U.S.A.;0;Anglais;0;;
Thor: Love And Thunder;7;2022;13 juillet 2022;119;Action;Taika Waititi;Chris Hemsworth;talie Portman;2,3;Taika Waititi;U.S.A.;0;Anglais;2;1;8
Three Widows Against The World;11;2022;14 novembre 2022;109;Comédie dramatique;Hyrul Anuar;Khatijah Tan;Normah Damanhuri;;;Malaisie;0;Malais;;;
Thunivu;1;2023;12 janvier 2023;140;Action;H. Vinoth;Ajith Kumar;Manju Warrier;3,3;H. Vinoth;Inde;0;Tamoul;;0;
Tic et Tac, les Rangers du risque : le film;5;2022;20 mai 2022;97;Action;Akiva Schaffer;Andy Samberg;John Mulaney;3,5;Doug Mand;U.S.A.;;Anglais;0;1;0
Ticket To Paradise;10;2022;5 octobre 2022;104;Comédie;Ol Parker;George Clooney;Julia Roberts;2,7;Ol Parker;U.S.A.;0;Anglais;6;15;7
Tin & Ti;5;2023;26 mai 2023;119;Epouvante-horreur;Rubin Stein;Mile Smit;Jaime Lorente;1,8;Rubin Stein;Espagne;0;Espagnol;;0;0
Tiny Cinema;12;2022;28 décembre 2022;84;Comédie;Tyler Corck;Tyler Rice;Philip Ursino;3,1;Tyler Corck;U.S.A.;0;Anglais;;;0
Tirailleurs;1;2023;4 janvier 2023;100;Drame;Mathieu Vadepied;Omar Sy;Alassane Diong;2,5;Olivier Demangel;France;6;Français;5;6;0
Titi;2;2023;8 février 2023;90;Aventure;Kajsa Næss;Raphaël Personz;Jan Gunr Røise;3,5;Per Schreiner;Norvège;0;Norvégien;0;4;0
To Russia with Love;11;2022;7 novembre 2022;115;Comédie;Verónica Velasco;Ele Kozlova;Gerald Anderson;;;Philippines;0;Anglais, Russe, Autre;0;;0
Togo;10;2022;5 octobre 2022;92;Policier;Israel Adrián Caetano;Diego Alonso;Catali Arrillaga;2,9;Israel Adrián Caetano;Uruguay;0;Espagnol;10;0;
Toi non plus tu n'as rien vu;3;2023;8 mars 2023;93;Drame;Beatrice Pollet;Maud Wyler;Géraldine kache;3,5;Beatrice Pollet;France;0;Français;1;0;2
Tom & Jerry au Far West;1;2022;24 janvier 2022;72;Aventure;Darrel Van Citters;George Ackles;Sean Burgos;2,4;William Waldner;U.S.A.;0;Anglais;0;;
Tom Brady à tout prix;4;2023;13 avril 2023;99;Comédie;Kyle Marvin;Lily Tomlin;Jane Fonda;2,8;Sarah Haskins;U.S.A.;0;Anglais;0;1;9
Top Gun: Maverick;5;2022;25 mai 2022;131;Action;Joseph Kosinski;Tom Cruise;Miles Teller;4,3;Christopher McQuarrie;U.S.A.;112;Anglais;1;18;2
Top Gunner: Danger Zone;12;2022;7 décembre 2022;86;Action;Glenn Miller;Michael Paré;Michael Broderick;2,7;Marcel Gottlieb;U.S.A.;0;Anglais;;0;0
Tori et Lokita;10;2022;5 octobre 2022;88;Drame;Luc Dardenne;Pablo Schils;Joely Mbundu;3,6;Luc Dardenne;Belgique;16;Français;10;;
Torn Hearts;7;2022;1 juillet 2022;93;Epouvante-horreur;Brea Grant;Katey Sagal;Shiloh Ferndez;2;Rachel Koller Croft;U.S.A.;0;Anglais;0;1;0
Tosca;5;2022;18 mai 2022;90;Comédie;Mehdi Avaz;Cristia Dell'An;Ghita Norby;2,4;Mehdi Avaz;Danemark;0;Danois;;;0
Toujours plus beau;4;2022;1 avril 2022;113;Comédie;Claudio Norza;Ludovica Francesconi;Giancarlo Commare;2,2;Roberto Proia;Italie;0;Italien;;;
Tous Inconnus;11;2022;14 novembre 2022;113;Comédie;Nicolas Hourès;Didier Bourdon;Berrd Campan;1,2;;France;0;Français;;1;1
Tout commence avec nous;10;2022;24 octobre 2022;67;Drame;Bruce Goodison;Ruth Madeley;Arthur Hughes;3,1;;Grande-Bretagne;0;Anglais;0;0;
Tout fout le camp;9;2022;14 septembre 2022;95;Comédie;Sébastien Betbeder;Thomas Scimeca;Usé;2,5;Sébastien Betbeder;France;0;Français;1;0;
Tout le monde aime Jeanne;9;2022;7 septembre 2022;95;Comédie;Céline Devaux;Blanche Gardin;Laurent Lafitte;3,1;Céline Devaux;France;4;Français;2;0;3
Tout le monde ment;8;2022;31 août 2022;90;Drame;Hélène Angel;Vincent Elbaz;Nicolas Marié;3,4;Olivier Norek;France;0;Français;1;1;1
Traces;2;2023;8 février 2023;127;Drame;Tiago Guedes;Nuno Lopes;Albano Jerónimo;3,7;Tiago Rodrigues;Portugal;1;Portugais;3;0;0
Traqués;1;2023;18 janvier 2023;94;Action;Tommy Boulding;Samantha Bond;Malachi Pullar-Latchman;1,7;Ray Bogdanovich;Grande-Bretagne;0;Anglais;;0;
Treize à la douzaine;3;2022;18 mars 2022;108;Comédie;Gail Lerner;Gabrielle Union;Zach Braff;2,1;Kenya Barris;U.S.A.;0;Anglais;1;0;4
Treize vies;8;2022;5 août 2022;147;Drame;Ron Howard;Colin Farrell;Viggo Mortensen;4,1;William Nicholson;Grande-Bretagne;0;Anglais, Thaï;3;1;16
Trenque Lauquen - Partie 1;5;2023;3 mai 2023;129;Drame;Laura Citarella;Laura Paredes;Julia Muras;3,6;Laura Citarella;Argentine;2;Espagnol;1;0;
Trenque Lauquen - Partie 2;5;2023;3 mai 2023;133;Drame;Laura Citarella;Laura Paredes;Julia Muras;3,5;Laura Citarella;Argentine;0;Espagnol;1;0;
