Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
Blow Up;1 mai 1967; 1h 50min ;Drame;NA;NA;Michelangelo Antonioni;NA;Jane Birkin;Gillian Hills;Julian Chagrin;4,7;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=1422.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=26.html;Julio Cortazar;Grande-Bretagne;Italie;Warner Bros. France;8            ;1 800 000 $;Anglais;NA;6;1;0
Blowfly Park;2 août 2016; 1h 36min ;Drame;Thriller;NA;Jens Östberg;NA;Sverrir Gudnason;Peter Andersson;Malin Buska;NA;2,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=236390.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=728172.html;Jens Östberg;Suède;NA;NA;0;-;Suédois;NA;NA;1;0
Blown Away;16 novembre 1994; 2h 01min ;Action;Thriller;NA;Stephen Hopkins;NA;Jeff Bridges;Tommy Lee Jones;Lloyd Bridges;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=10905.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=13129.html;Joe Batteer;U.S.A.;NA;NA;0;-;Anglais, Allemand;NA;7;6;7
Blue Bayou;15 septembre 2021; 1h 58min ;Drame;NA;NA;Justin Chon;NA;Justin Chon;Alicia Vikander;Sydney Kowalske;2,7;4,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=278105.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=214881.html;Justin Chon;U.S.A.;NA;Universal Pictures International France;1         11            ;-;Anglais;13 149 entrées;7;7;3
Blue Chips;22 juin 1994; 1h 48min ;Drame;NA;NA;William Friedkin;NA;Shaquille O'Neal;Mary McDonnell;Alfre Woodard;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=10292.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=698.html;Ron Shelton;U.S.A.;NA;United International Pictures (UIP);0;-;Anglais;NA;3;1;1
Calomnies;19 novembre 2014; 1h 20min ;Comédie dramatique;NA;NA;Jean-Pierre Mocky;NA;Marius Colucci;Guy Marchand;Philippe Duquesne;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=232650.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=100.html;Jean-Pierre Mocky;France;NA;Panoceanic Films;0;-;Français;687 entrées;6;1;1
Calloway le trappeur;24 mars 2020; 2h 11min ;Drame;Famille;NA;Norman Tokar;NA;Brian Keith;Vera Miles;Brandon De Wilde;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=281786.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=103616.html;Louis Pelletier;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Caltiki - Le monstre immortel;11 avril 2017; 1h 16min ;Epouvante-horreur;NA;NA;Riccardo Freda;Mario Bava;Didi Perego;John Merivale;Gérard Herter;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=135620.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3980.html;Filippo Sanjust;U.S.A.;Italie;NA;0;-;Italien;NA;0;0;0
Calvaire;16 mars 2005; 1h 30min ;Epouvante-horreur;NA;NA;Fabrice Du Welz;NA;Laurent Lucas;Jackie Berroyer;Philippe Nahon;3,7;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=44880.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=95081.html;Fabrice Du Welz;France;Belgique;Mars Distribution;3         3            ;1 710 000 €;Français;NA;4;1;2
Calvary;26 novembre 2014; 1h 45min ;Comédie dramatique;Policier;NA;John Michael McDonagh;NA;Brendan Gleeson;Chris O'Dowd;Kelly Reilly;3,6;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=193309.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=69113.html;John Michael McDonagh;Irlande;Grande-Bretagne;Twentieth Century Fox France;2            ;-;Anglais;20 817 entrées;1;7;1
